日志创建2021-06-26 余额7446164，失去银子：2000,来源代号22，银子余额7444164
2021-06-26 获得经验：19874764,来源代号知了先锋
2021-06-26 余额94832140，获得储备：142572,来源代号知了先锋，储备余额94974712
2021-06-26 获得经验：19874764,来源代号知了先锋
2021-06-26 余额94974712，获得储备：142572,来源代号知了先锋，储备余额95117284
2021-06-26 获得经验：19874764,来源代号知了先锋
2021-06-26 余额95117284，获得储备：142572,来源代号知了先锋，储备余额95259856
2021-06-26 获得经验：19874764,来源代号知了先锋
2021-06-26 余额95259856，获得储备：142572,来源代号知了先锋，储备余额95402428
2021-06-26 [交易]给予zhouhong的暗黑童子
2021-06-26 获得经验：1916164,来源代号抓鬼
2021-06-26 余额7444164，获得银子：69883,来源代号抓鬼，银子余额7514047
2021-06-26 余额95402428，获得储备：34941,来源代号抓鬼，储备余额95437369
2021-06-26 获得经验：2053036,来源代号抓鬼
2021-06-26 余额7514047，获得银子：73135,来源代号抓鬼，银子余额7587182
2021-06-26 余额95437369，获得储备：36567,来源代号抓鬼，储备余额95473936
2021-06-26 获得经验：2189904,来源代号抓鬼
2021-06-26 余额7587182，获得银子：78808,来源代号抓鬼，银子余额7665990
2021-06-26 余额95473936，获得储备：39404,来源代号抓鬼，储备余额95513340
2021-06-26 获得经验：2326770,来源代号抓鬼
2021-06-26 余额7665990，获得银子：81364,来源代号抓鬼，银子余额7747354
2021-06-26 余额95513340，获得储备：40682,来源代号抓鬼，储备余额95554022
2021-06-26 获得经验：2463642,来源代号抓鬼
2021-06-26 余额7747354，获得银子：85664,来源代号抓鬼，银子余额7833018
2021-06-26 余额95554022，获得储备：42832,来源代号抓鬼，储备余额95596854
2021-06-26 获得经验：2600510,来源代号抓鬼
2021-06-26 余额7833018，获得银子：90090,来源代号抓鬼，银子余额7923108
2021-06-26 余额95596854，获得储备：45045,来源代号抓鬼，储备余额95641899
2021-06-26 [给予]给予(zhouhong)银子：7000000
2021-06-26 [交易]获得zhouhong的暗黑童子
2021-06-26 [给予]获得(zhouhong)道具：法宝任务书
2021-06-26 [给予]获得(zhouhong)道具：防御精魄灵石
2021-06-26 [给予]获得(zhouhong)道具：防御精魄灵石
2021-06-26 [给予]获得(zhouhong)道具：防御精魄灵石
2021-06-26 [给予]获得(zhouhong)道具：灵力精魄灵石
2021-06-26 [给予]获得(zhouhong)道具：高级内丹碎片
2021-06-26 余额923108，获得银子：400000,来源代号给予，银子余额1323108
2021-06-26 [给予]获得(zhouhong)银子：400000
2021-06-26 余额1323108，获得银子：20000,来源代号出售超级金柳露，银子余额1343108
2021-06-26 余额1343108，获得银子：100000,来源代号出售魔兽要诀，银子余额1443108
2021-06-26 [给予]获得(zhouhong)道具：九转金丹
2021-06-26 [给予]获得(zhouhong)道具：九转金丹
2021-06-26 [给予]获得(zhouhong)道具：九转金丹
2021-06-26 余额1443108，获得银子：4100000,来源代号给予，银子余额5543108
2021-06-26 [给予]获得(zhouhong)银子：4100000
2021-06-26 [给予]获得(zhouhong)道具：九转金丹
2021-06-26 [给予]获得(zhouhong)道具：九转金丹
2021-06-26 [给予]获得(zhouhong)道具：九转金丹
2021-06-26 [给予]获得(zhouhong)道具：魔兽要诀
2021-06-26 [给予]获得(zhouhong)道具：魔兽要诀
2021-06-26 [给予]获得(zhouhong)道具：魔兽要诀
2021-06-26 获得经验：19874764,来源代号知了先锋
2021-06-26 余额95641899，获得储备：142572,来源代号知了先锋，储备余额95784471
2021-06-26 获得经验：19874764,来源代号知了先锋
2021-06-26 余额95784471，获得储备：142572,来源代号知了先锋，储备余额95927043
2021-06-26 余额5543108，失去银子：2000,来源代号22，银子余额5541108
2021-06-26 余额5541108，失去银子：2000,来源代号22，银子余额5539108
2021-06-26 获得经验：2700000,来源代号封妖
2021-06-26 获得经验：21927800,来源代号知了大王
2021-06-26 余额95927043，获得储备：190096,来源代号知了大王，储备余额96117139
2021-06-26 获得经验：21927800,来源代号知了大王
2021-06-26 余额96117139，获得储备：190096,来源代号知了大王，储备余额96307235
2021-06-26 获得经验：21927800,来源代号知了大王
2021-06-26 余额96307235，获得储备：190096,来源代号知了大王，储备余额96497331
2021-06-27 获得经验：21927800,来源代号知了大王
2021-06-27 余额96497331，获得储备：190096,来源代号知了大王，储备余额96687427
2021-06-27 获得经验：21927800,来源代号知了大王
2021-06-27 余额96687427，获得储备：190096,来源代号知了大王，储备余额96877523
2021-06-27 获得经验：21927800,来源代号知了大王
2021-06-27 余额96877523，获得储备：190096,来源代号知了大王，储备余额97067619
2021-06-27 获得经验：21927800,来源代号知了大王
2021-06-27 余额97067619，获得储备：190096,来源代号知了大王，储备余额97257715
2021-06-27 余额5539108，失去银子：2000,来源代号22，银子余额5537108
2021-06-27 获得经验：21927800,来源代号知了大王
2021-06-27 余额97257715，获得储备：190096,来源代号知了大王，储备余额97447811
2021-06-27 获得经验：22840262,来源代号千年知了王
2021-06-27 余额97447811，获得储备：213858,来源代号千年知了王，储备余额97661669
2021-06-27 余额5537108，获得银子：10000,来源代号出售朱雀石，银子余额5547108
2021-06-27 余额5547108，获得银子：20000,来源代号出售符石卷轴，银子余额5567108
2021-06-27 余额5567108，获得银子：100000,来源代号出售魔兽要诀，银子余额5667108
2021-06-27 余额5667108，获得银子：20000,来源代号出售太阳石，银子余额5687108
2021-06-27 余额5687108，获得银子：20000,来源代号出售附魔宝珠，银子余额5707108
2021-06-27 余额5707108，失去银子：2000,来源代号22，银子余额5705108
2021-06-27 获得经验：3421728,来源代号夏日炎炎
2021-06-27 余额5705108，失去银子：2000,来源代号22，银子余额5703108
2021-06-27 余额5703108，获得银子：200000,来源代号星宿，银子余额5903108
2021-06-27 获得经验：480000,来源代号星宿
2021-06-27 获得经验：3421728,来源代号夏日炎炎
2021-06-27 获得经验：3421728,来源代号夏日炎炎
2021-06-27 获得经验：3421728,来源代号夏日炎炎
2021-06-27 余额5903108，获得银子：171084,来源代号嘉年华，银子余额6074192
2021-06-27 获得经验：855432,来源代号嘉年华
2021-06-27 余额6074192，获得银子：213855,来源代号嘉年华，银子余额6288047
2021-06-27 获得经验：2994012,来源代号嘉年华
2021-06-27 余额6288047，失去银子：2000,来源代号22，银子余额6286047
2021-06-27 余额6286047，获得银子：256626,来源代号嘉年华，银子余额6542673
2021-06-27 获得经验：3421728,来源代号嘉年华
2021-06-27 余额6542673，获得银子：769878,来源代号嘉年华，银子余额7312551
2021-06-27 获得经验：205303680,来源代号嘉年华
2021-06-27 [给予]获得(zhouhong1)道具：灵力精魄灵石
2021-06-27 [给予]获得(zhouhong1)道具：怪物卡片
2021-06-27 [给予]获得(zhouhong1)道具：光芒石
2021-06-27 余额7312551，失去银子：100000,来源代号商城，银子余额7212551
2021-06-27 余额7212551，失去银子：100000,来源代号商城，银子余额7112551
2021-06-27 余额7112551，失去银子：100000,来源代号商城，银子余额7012551
2021-06-27 余额7012551，失去银子：100000,来源代号商城，银子余额6912551
2021-06-27 余额6912551，失去银子：100000,来源代号商城，银子余额6812551
2021-06-27 余额6812551，失去银子：100000,来源代号商城，银子余额6712551
2021-06-27 余额6712551，失去银子：100000,来源代号商城，银子余额6612551
2021-06-27 余额6612551，失去银子：100000,来源代号商城，银子余额6512551
2021-06-27 [给予]给予(zhouhong1)道具：怪物卡片
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额97661669，获得储备：190096,来源代号知了大王，储备余额97851765
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额97851765，获得储备：190096,来源代号知了大王，储备余额98041861
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额98041861，获得储备：190096,来源代号知了大王，储备余额98231957
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额98231957，获得储备：190096,来源代号知了大王，储备余额98422053
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额98422053，获得储备：190096,来源代号知了大王，储备余额98612149
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额98612149，获得储备：190096,来源代号知了大王，储备余额98802245
2021-06-27 获得经验：11477160,来源代号知了统领
2021-06-27 余额98802245，获得储备：213858,来源代号知了统领，储备余额99016103
2021-06-27 获得经验：11477160,来源代号知了统领
2021-06-27 余额99016103，获得储备：213858,来源代号知了统领，储备余额99229961
2021-06-27 获得经验：11477160,来源代号知了统领
2021-06-27 余额99229961，获得储备：213858,来源代号知了统领，储备余额99443819
2021-06-27 获得经验：1710864,来源代号夏日炎炎
2021-06-27 获得经验：11477160,来源代号知了统领
2021-06-27 余额99443819，获得储备：213858,来源代号知了统领，储备余额99657677
2021-06-27 获得经验：1710864,来源代号夏日炎炎
2021-06-27 获得经验：11477160,来源代号知了统领
2021-06-27 余额99657677，获得储备：213858,来源代号知了统领，储备余额99871535
2021-06-27 获得经验：1710864,来源代号夏日炎炎
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额99871535，获得储备：190096,来源代号知了大王，储备余额100061631
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额100061631，获得储备：190096,来源代号知了大王，储备余额100251727
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额100251727，获得储备：190096,来源代号知了大王，储备余额100441823
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额100441823，获得储备：190096,来源代号知了大王，储备余额100631919
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额100631919，获得储备：190096,来源代号知了大王，储备余额100822015
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额100822015，获得储备：190096,来源代号知了大王，储备余额101012111
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额101012111，获得储备：190096,来源代号知了大王，储备余额101202207
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额101202207，获得储备：190096,来源代号知了大王，储备余额101392303
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额101392303，获得储备：190096,来源代号知了大王，储备余额101582399
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额101582399，获得储备：190096,来源代号知了大王，储备余额101772495
2021-06-27 余额6512551，获得银子：100000,来源代号出售魔兽要诀，银子余额6612551
