日志创建2021-06-23 余额375167970，失去银子：30000000,来源代号商会，银子余额345167970
2021-06-23 余额345167970，失去银子：48111111,来源代号24，银子余额297056859
2021-06-23 [摊位系统-购买]花费48111111两银子购买高级魔兽要诀，出售者=lj871062
2021-06-23 余额297056859，失去银子：6666666,来源代号24，银子余额290390193
2021-06-23 [摊位系统-购买]花费6666666两银子购买高级魔兽要诀，出售者=liufengxv
2021-06-23 余额290390193，失去银子：49999999,来源代号24，银子余额240390194
2021-06-23 [摊位系统-购买]花费49999999两银子购买高级魔兽要诀，出售者=liufengxv
2021-06-23 余额240390194，失去银子：12222222,来源代号24，银子余额228167972
2021-06-23 [摊位系统-购买]花费12222222两银子购买高级魔兽要诀，出售者=05127858
2021-06-23 余额228167972，失去银子：42222222,来源代号24，银子余额185945750
2021-06-23 [摊位系统-购买]花费42222222两银子购买高级魔兽要诀，出售者=ynsf1980
2021-06-23 余额185945750，失去银子：25555555,来源代号24，银子余额160390195
2021-06-23 [摊位系统-购买]花费25555555两银子购买召唤兽内丹，出售者=87762404
2021-06-23 余额160390195，失去银子：123456789,来源代号24，银子余额36933406
2021-06-23 [摊位系统-购买]花费123456789两银子购买高级召唤兽内丹，出售者=695769544
2021-06-23 取钱-取出数额:99999999
2021-06-23 取钱-银子-之前金额:36933406
2021-06-23 取钱-存银-之前金额:3000000000
2021-06-23 取钱-银子-取后金额:136933405
2021-06-23 取钱-存银-取后金额:2900000001
2021-06-23 取钱-取出数额:99999999
2021-06-23 取钱-银子-之前金额:136933405
2021-06-23 取钱-存银-之前金额:2900000001
2021-06-23 取钱-银子-取后金额:236933404
2021-06-23 取钱-存银-取后金额:2800000002
2021-06-23 取钱-取出数额:99999999
2021-06-23 取钱-银子-之前金额:236933404
2021-06-23 取钱-存银-之前金额:2800000002
2021-06-23 取钱-银子-取后金额:336933403
2021-06-23 取钱-存银-取后金额:2700000003
2021-06-23 取钱-取出数额:99999999
2021-06-23 取钱-银子-之前金额:336933403
2021-06-23 取钱-存银-之前金额:2700000003
2021-06-23 取钱-银子-取后金额:436933402
2021-06-23 取钱-存银-取后金额:2600000004
2021-06-23 取钱-取出数额:99999999
2021-06-23 取钱-银子-之前金额:436933402
2021-06-23 取钱-存银-之前金额:2600000004
2021-06-23 取钱-银子-取后金额:536933401
2021-06-23 取钱-存银-取后金额:2500000005
2021-06-23 取钱-取出数额:5
2021-06-23 取钱-银子-之前金额:536933401
2021-06-23 取钱-存银-之前金额:2500000005
2021-06-23 取钱-银子-取后金额:536933406
2021-06-23 取钱-存银-取后金额:2500000000
