日志创建2021-06-27 余额3614149，获得银子：769878,来源代号嘉年华，银子余额4384027
2021-06-27 获得经验：171086400,来源代号嘉年华
2021-06-27 [给予]给予(zhouhong1)道具：灵力精魄灵石
2021-06-27 [给予]给予(zhouhong1)道具：怪物卡片
2021-06-27 [给予]给予(zhouhong1)道具：光芒石
2021-06-27 余额4384027，获得银子：20000,来源代号出售超级金柳露，银子余额4404027
2021-06-27 余额4404027，获得银子：20000,来源代号出售符石卷轴，银子余额4424027
2021-06-27 余额4424027，获得银子：10000,来源代号出售炼妖石，银子余额4434027
2021-06-27 余额4434027，获得银子：20000,来源代号出售符石卷轴，银子余额4454027
2021-06-27 余额4454027，获得银子：20000,来源代号出售符石卷轴，银子余额4474027
2021-06-27 [给予]获得(zhouhong1)道具：灵力精魄灵石
2021-06-27 [给予]获得(zhouhong1)道具：怪物卡片
2021-06-27 [给予]给予(zhouhong1)道具：怪物卡片
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额128783430，获得储备：190096,来源代号知了大王，储备余额128973526
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额128973526，获得储备：190096,来源代号知了大王，储备余额129163622
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额129163622，获得储备：190096,来源代号知了大王，储备余额129353718
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额129353718，获得储备：190096,来源代号知了大王，储备余额129543814
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额129543814，获得储备：190096,来源代号知了大王，储备余额129733910
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额129733910，获得储备：190096,来源代号知了大王，储备余额129924006
2021-06-27 获得经验：19128600,来源代号知了统领
2021-06-27 余额129924006，获得储备：213858,来源代号知了统领，储备余额130137864
2021-06-27 获得经验：19128600,来源代号知了统领
2021-06-27 余额130137864，获得储备：213858,来源代号知了统领，储备余额130351722
2021-06-27 获得经验：19128600,来源代号知了统领
2021-06-27 余额130351722，获得储备：213858,来源代号知了统领，储备余额130565580
2021-06-27 获得经验：2851440,来源代号夏日炎炎
2021-06-27 获得经验：19128600,来源代号知了统领
2021-06-27 余额130565580，获得储备：213858,来源代号知了统领，储备余额130779438
2021-06-27 获得经验：2851440,来源代号夏日炎炎
2021-06-27 获得经验：19128600,来源代号知了统领
2021-06-27 余额130779438，获得储备：213858,来源代号知了统领，储备余额130993296
2021-06-27 获得经验：2851440,来源代号夏日炎炎
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额130993296，获得储备：190096,来源代号知了大王，储备余额131183392
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额131183392，获得储备：190096,来源代号知了大王，储备余额131373488
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额131373488，获得储备：190096,来源代号知了大王，储备余额131563584
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额131563584，获得储备：190096,来源代号知了大王，储备余额131753680
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额131753680，获得储备：190096,来源代号知了大王，储备余额131943776
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额131943776，获得储备：190096,来源代号知了大王，储备余额132133872
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额132133872，获得储备：190096,来源代号知了大王，储备余额132323968
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额132323968，获得储备：190096,来源代号知了大王，储备余额132514064
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额132514064，获得储备：190096,来源代号知了大王，储备余额132704160
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额132704160，获得储备：190096,来源代号知了大王，储备余额132894256
2021-06-27 余额4474027，获得银子：20000,来源代号出售符石卷轴，银子余额4494027
2021-06-27 余额4494027，获得银子：50000,来源代号出售超级净瓶玉露，银子余额4544027
2021-06-27 余额4544027，获得银子：20000,来源代号出售太阳石，银子余额4564027
2021-06-27 余额4564027，获得银子：20000,来源代号出售蓝宝石，银子余额4584027
2021-06-27 余额4584027，获得银子：20000,来源代号出售附魔宝珠，银子余额4604027
2021-06-27 余额4604027，获得银子：20000,来源代号出售附魔宝珠，银子余额4624027
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额132894256，获得储备：190096,来源代号知了大王，储备余额133084352
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额133084352，获得储备：190096,来源代号知了大王，储备余额133274448
2021-06-27 获得经验：19033552,来源代号千年知了王
