日志创建2021-06-28 余额736827，获得银子：20000,来源代号出售天眼珠，银子余额756827
2021-06-28 余额756827，获得银子：20000,来源代号出售天眼珠，银子余额776827
2021-06-28 余额776827，获得银子：20000,来源代号出售三眼天珠，银子余额796827
2021-06-28 余额796827，获得银子：20000,来源代号出售天眼珠，银子余额816827
2021-06-28 [给予]获得(zhouhong1)道具：修炼果
2021-06-28 [给予]获得(zhouhong1)道具：修炼果
2021-06-28 [给予]获得(zhouhong1)道具：修炼果
2021-06-28 获得经验：8281152,来源代号知了先锋
2021-06-28 余额370342491，获得储备：142572,来源代号知了先锋，储备余额370485063
2021-06-28 [给予]给予(zhouhong1)道具：擒龙
2021-06-28 [给予]获得(zhouhong1)道具：擒龙
2021-06-28 余额816827，获得银子：1000000,来源代号给予，银子余额1816827
2021-06-28 [给予]获得(zhouhong1)银子：1000000
2021-06-28 余额1816827，失去银子：1000,来源代号5，银子余额1815827
2021-06-28 余额1815827，失去银子：1000000,来源代号脱离门派，银子余额815827
2021-06-28 余额815827，失去银子：2500,来源代号商城，银子余额813327
2021-06-28 余额813327，获得银子：1000000,来源代号给予，银子余额1813327
2021-06-28 [给予]获得(zhouhong1)银子：1000000
2021-06-28 余额1813327，失去银子：1000000,来源代号改变造型，银子余额813327
2021-06-28 余额813327，获得银子：1000000,来源代号给予，银子余额1813327
2021-06-28 [给予]获得(zhouhong1)银子：1000000
2021-06-28 [给予]给予(zhouhong1)道具：擒龙
2021-06-29 [给予]获得(zhouhong1)道具：160级玩家礼包
2021-06-29 装备礼包:23
2021-06-29 装备礼包:24
2021-06-29 装备礼包:25
2021-06-29 装备礼包:26
2021-06-29 装备礼包:27
2021-06-29 装备礼包:28
2021-06-29 [给予]获得(zhouhong1)道具：修炼果
2021-06-29 [给予]获得(zhouhong1)道具：黑魔冠
2021-06-29 [给予]获得(zhouhong1)道具：万里追云履
2021-06-29 [给予]获得(zhouhong1)道具：圣王坠
2021-06-29 余额1813327，获得银子：3000000,来源代号给予，银子余额4813327
2021-06-29 [给予]获得(zhouhong1)银子：3000000
2021-06-29 [给予]获得(zhouhong1)道具：白色合成旗
2021-06-29 [给予]给予(zhouhong1)道具：白色合成旗
2021-06-29 [给予]获得(zhouhong1)道具：红色合成旗
2021-06-29 获得经验：4966,来源代号野外
2021-06-29 获得经验：10928,来源代号野外
2021-06-29 余额4813327，失去银子：500,来源代号商城，银子余额4812827
2021-06-29 余额4812827，失去银子：1000000,来源代号角色洗点，银子余额3812827
2021-06-29 花费100万银子重置角色属性点
2021-06-29 [给予]给予(zhouhong1)道具：红色合成旗
2021-06-29 获得经验：9564300,来源代号知了统领
2021-06-29 余额370485063，获得储备：213858,来源代号知了统领，储备余额370698921
2021-06-29 获得经验：9564300,来源代号知了统领
2021-06-29 余额370698921，获得储备：213858,来源代号知了统领，储备余额370912779
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额370912779，获得储备：190096,来源代号知了大王，储备余额371102875
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额371102875，获得储备：190096,来源代号知了大王，储备余额371292971
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额371292971，获得储备：190096,来源代号知了大王，储备余额371483067
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额371483067，获得储备：190096,来源代号知了大王，储备余额371673163
2021-06-29 [交易]获得zhouhong1的玳瑁衣
2021-06-29 [交易]获得zhouhong1的玳瑁护腕
2021-06-29 [交易]获得zhouhong1的玳瑁环
2021-06-29 [交易]获得zhouhong1的暗黑童子
2021-06-29 [交易]给予zhouhong1的玳瑁衣
2021-06-29 [交易]给予zhouhong1的玳瑁环
2021-06-29 [交易]给予zhouhong1的玳瑁护腕
2021-06-29 [交易]给予zhouhong1的暗黑童子
2021-06-29 余额3812827，失去银子：1000,来源代号5，银子余额3811827
2021-06-29 获得经验：1366,来源代号野外
2021-06-29 余额3811827，失去银子：1000000,来源代号脱离门派，银子余额2811827
2021-06-29 余额2811827，失去银子：1000000,来源代号改变造型，银子余额1811827
2021-06-29 获得经验：8281152,来源代号知了先锋
2021-06-29 余额371673163，获得储备：142572,来源代号知了先锋，储备余额371815735
2021-06-29 获得经验：8281152,来源代号知了先锋
2021-06-29 余额371815735，获得储备：142572,来源代号知了先锋，储备余额371958307
2021-06-29 获得经验：8281152,来源代号知了先锋
2021-06-29 余额371958307，获得储备：142572,来源代号知了先锋，储备余额372100879
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额372100879，获得储备：190096,来源代号知了大王，储备余额372290975
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额372290975，获得储备：190096,来源代号知了大王，储备余额372481071
2021-06-29 扣除30000仙玉来源召唤兽改变造型
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额372481071，获得储备：190096,来源代号知了大王，储备余额372671167
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额372671167，获得储备：190096,来源代号知了大王，储备余额372861263
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额372861263，获得储备：190096,来源代号知了大王，储备余额373051359
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额373051359，获得储备：190096,来源代号知了大王，储备余额373241455
2021-06-29 余额1811827，失去银子：2000,来源代号22，银子余额1809827
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额373241455，获得储备：190096,来源代号知了大王，储备余额373431551
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额373431551，获得储备：190096,来源代号知了大王，储备余额373621647
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额373621647，获得储备：190096,来源代号知了大王，储备余额373811743
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额373811743，获得储备：190096,来源代号知了大王，储备余额374001839
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额374001839，获得储备：190096,来源代号知了大王，储备余额374191935
2021-06-29 获得经验：9136584,来源代号知了大王
