日志创建2021-06-21 余额2069967，获得银子：40000,来源代号泡泡，银子余额2109967
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额2109967，获得银子：40000,来源代号泡泡，银子余额2149967
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额2149967，获得银子：40000,来源代号泡泡，银子余额2189967
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额2189967，获得银子：40000,来源代号泡泡，银子余额2229967
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额2229967，获得银子：40000,来源代号泡泡，银子余额2269967
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额2269967，获得银子：40000,来源代号泡泡，银子余额2309967
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额2309967，获得银子：40000,来源代号泡泡，银子余额2349967
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额2349967，获得银子：40000,来源代号泡泡，银子余额2389967
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 获得经验：7256904,来源代号知了大王
2021-06-21 余额72604738，获得储备：76176,来源代号知了大王，储备余额72680914
2021-06-21 获得经验：6914112,来源代号知了先锋
2021-06-21 余额72680914，获得储备：57132,来源代号知了先锋，储备余额72738046
2021-06-21 获得经验：6914112,来源代号知了先锋
2021-06-21 余额72738046，获得储备：57132,来源代号知了先锋，储备余额72795178
2021-06-22 获得经验：6914112,来源代号知了先锋
2021-06-22 余额72795178，获得储备：57132,来源代号知了先锋，储备余额72852310
2021-06-22 获得经验：7256904,来源代号知了大王
2021-06-22 余额72852310，获得储备：76176,来源代号知了大王，储备余额72928486
2021-06-22 余额2389967，失去银子：1000,来源代号5，银子余额2388967
2021-06-22 余额2388967，失去银子：1000000,来源代号脱离门派，银子余额1388967
2021-06-22 余额1388967，失去银子：1000000,来源代号角色洗点，银子余额388967
2021-06-22 花费100万银子重置角色属性点
2021-06-22 获得经验：1085508,来源代号抓鬼
2021-06-22 余额388967，获得银子：51188,来源代号抓鬼，银子余额440155
2021-06-22 余额72928486，获得储备：25594,来源代号抓鬼，储备余额72954080
2021-06-22 获得经验：1142640,来源代号抓鬼
2021-06-22 余额440155，获得银子：53338,来源代号抓鬼，银子余额493493
2021-06-22 余额72954080，获得储备：26669,来源代号抓鬼，储备余额72980749
2021-06-22 获得经验：628452,来源代号抓鬼
2021-06-22 余额493493，获得银子：33400,来源代号抓鬼，银子余额526893
2021-06-22 余额72980749，获得储备：16700,来源代号抓鬼，储备余额72997449
2021-06-22 获得经验：685584,来源代号抓鬼
2021-06-22 余额526893，获得银子：34951,来源代号抓鬼，银子余额561844
2021-06-22 余额72997449，获得储备：17475,来源代号抓鬼，储备余额73014924
2021-06-22 获得经验：742716,来源代号抓鬼
2021-06-22 余额561844，获得银子：37795,来源代号抓鬼，银子余额599639
2021-06-22 余额73014924，获得储备：18897,来源代号抓鬼，储备余额73033821
2021-06-22 获得经验：13828224,来源代号知了先锋
2021-06-22 余额73033821，获得储备：57132,来源代号知了先锋，储备余额73090953
2021-06-22 获得经验：1142640,来源代号夏日炎炎
2021-06-22 获得经验：1142640,来源代号夏日炎炎
2021-06-22 获得经验：1142640,来源代号夏日炎炎
2021-06-22 获得经验：1142640,来源代号夏日炎炎
2021-06-22 获得经验：1142640,来源代号夏日炎炎
2021-06-22 获得经验：1142640,来源代号夏日炎炎
2021-06-22 获得经验：1142640,来源代号夏日炎炎
2021-06-22 获得经验：1142640,来源代号夏日炎炎
2021-06-22 获得经验：1142640,来源代号夏日炎炎
