日志创建2021-06-26 获得经验：7066464,来源代号千年魔灵
2021-06-26 余额2374743，失去银子：2000000,来源代号商城，银子余额374743
2021-06-26 获得经验：7428300,来源代号知了统领
2021-06-26 余额239589611，获得储备：85698,来源代号知了统领，储备余额239675309
2021-06-26 获得经验：7428300,来源代号知了统领
2021-06-26 余额239675309，获得储备：85698,来源代号知了统领，储备余额239761007
2021-06-26 获得经验：7428300,来源代号知了统领
2021-06-26 余额239761007，获得储备：85698,来源代号知了统领，储备余额239846705
2021-06-26 余额374743，获得银子：40000,来源代号泡泡，银子余额414743
2021-06-26 获得经验：571320,来源代号泡泡
2021-06-26 余额414743，获得银子：35000,来源代号仙气十足，银子余额449743
2021-06-26 获得经验：571320,来源代号仙气十足
2021-06-26 余额449743，获得银子：35000,来源代号仙气十足，银子余额484743
2021-06-26 获得经验：571320,来源代号仙气十足
2021-06-26 获得经验：571320,来源代号夏日炎炎
2021-06-26 余额484743，获得银子：100000,来源代号出售魔兽要诀，银子余额584743
2021-06-26 余额584743，获得银子：10000,来源代号出售玄武石，银子余额594743
2021-06-26 余额594743，获得银子：20000,来源代号出售附魔宝珠，银子余额614743
2021-06-26 余额614743，获得银子：10000,来源代号出售金柳露，银子余额624743
2021-06-26 获得经验：720000,来源代号封妖
2021-06-26 获得经验：720000,来源代号封妖
2021-06-26 获得经验：720000,来源代号封妖
2021-06-26 获得经验：720000,来源代号封妖
2021-06-26 获得经验：7409256,来源代号千年知了王
2021-06-26 余额239846705，获得储备：85698,来源代号千年知了王，储备余额239932403
2021-06-26 获得经验：7409256,来源代号千年知了王
2021-06-26 余额239932403，获得储备：85698,来源代号千年知了王，储备余额240018101
2021-06-26 获得经验：720000,来源代号封妖
2021-06-26 获得经验：720000,来源代号封妖
2021-06-26 获得经验：720000,来源代号封妖
2021-06-26 获得经验：720000,来源代号封妖
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额240018101，获得储备：76176,来源代号知了大王，储备余额240094277
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额240094277，获得储备：76176,来源代号知了大王，储备余额240170453
2021-06-26 获得经验：7256904,来源代号知了大王
