日志创建2021-06-21 余额100000，获得银子：600000000,来源代号给予，银子余额600100000
2021-06-21 [给予]获得(zhouhong)银子：600000000
2021-06-21 余额600100000，失去银子：599999999,来源代号29，银子余额100001
2021-06-21 [摊位系统-购买]花费599999999两银子购买了超级小鲲鹏，类型为超级小鲲鹏，出售者为q131007
2021-06-21 放生召唤兽:编号=1,类型=超级腾蛇,名称=超级腾蛇,等级=30,技能数=5
2021-06-21 获得经验：628452,来源代号抓鬼
2021-06-21 余额100001，获得银子：33634,来源代号抓鬼，银子余额133635
2021-06-21 余额2732202，获得储备：16817,来源代号抓鬼，储备余额2749019
2021-06-21 获得经验：685584,来源代号抓鬼
2021-06-21 余额133635，获得银子：35102,来源代号抓鬼，银子余额168737
2021-06-21 余额2749019，获得储备：17551,来源代号抓鬼，储备余额2766570
2021-06-21 [给予]获得(zhouhong)道具：160级玩家礼包
2021-06-21 装备礼包:10
2021-06-21 装备礼包:11
2021-06-21 装备礼包:12
2021-06-21 装备礼包:13
2021-06-21 装备礼包:14
2021-06-21 装备礼包:15
2021-06-21 装备礼包:16
2021-06-21 装备礼包:17
2021-06-21 装备礼包:18
2021-06-21 装备礼包:19
2021-06-21 装备礼包:20
2021-06-21 装备礼包:21
2021-06-21 [给予]获得(zhouhong)道具：160级玩家礼包
2021-06-21 装备礼包:23
2021-06-21 装备礼包:24
2021-06-21 装备礼包:25
2021-06-21 装备礼包:26
2021-06-21 装备礼包:27
2021-06-21 装备礼包:28
2021-06-21 余额168737，获得银子：10000000,来源代号给予，银子余额10168737
2021-06-21 [给予]获得(zhouhong)银子：10000000
2021-06-21 余额10168737，失去银子：200000,来源代号商城，银子余额9968737
2021-06-21 余额9968737，失去银子：200000,来源代号商城，银子余额9768737
2021-06-21 余额9768737，失去银子：200000,来源代号商城，银子余额9568737
2021-06-21 余额9568737，失去银子：200000,来源代号商城，银子余额9368737
2021-06-21 余额9368737，失去银子：200000,来源代号商城，银子余额9168737
2021-06-21 余额9168737，失去银子：200000,来源代号商城，银子余额8968737
2021-06-21 余额8968737，失去银子：200000,来源代号商城，银子余额8768737
2021-06-21 余额8768737，失去银子：200000,来源代号商城，银子余额8568737
2021-06-21 余额8568737，失去银子：200000,来源代号商城，银子余额8368737
2021-06-21 余额8368737，失去银子：200000,来源代号商城，银子余额8168737
2021-06-21 余额8168737，失去银子：200000,来源代号商城，银子余额7968737
2021-06-21 余额7968737，失去银子：200000,来源代号商城，银子余额7768737
2021-06-21 余额7768737，失去银子：200000,来源代号商城，银子余额7568737
2021-06-21 余额7568737，失去银子：200000,来源代号商城，银子余额7368737
2021-06-21 余额7368737，失去银子：200000,来源代号商城，银子余额7168737
2021-06-21 余额7168737，失去银子：200000,来源代号商城，银子余额6968737
2021-06-21 余额6968737，失去银子：200000,来源代号商城，银子余额6768737
2021-06-21 余额6768737，失去银子：200000,来源代号商城，银子余额6568737
2021-06-21 余额6568737，失去银子：200000,来源代号商城，银子余额6368737
2021-06-21 余额6368737，失去银子：200000,来源代号商城，银子余额6168737
2021-06-21 余额6168737，失去银子：200000,来源代号商城，银子余额5968737
2021-06-21 余额5968737，失去银子：200000,来源代号商城，银子余额5768737
2021-06-21 余额5768737，失去银子：200000,来源代号商城，银子余额5568737
2021-06-21 余额5568737，失去银子：200000,来源代号商城，银子余额5368737
2021-06-21 余额5368737，失去银子：200000,来源代号商城，银子余额5168737
2021-06-21 余额5168737，失去银子：200000,来源代号商城，银子余额4968737
2021-06-21 余额4968737，失去银子：200000,来源代号商城，银子余额4768737
2021-06-21 余额4768737，失去银子：200000,来源代号商城，银子余额4568737
2021-06-21 余额4568737，失去银子：200000,来源代号商城，银子余额4368737
2021-06-21 余额4368737，失去银子：200000,来源代号商城，银子余额4168737
2021-06-21 余额4168737，失去银子：3000000,来源代号13，银子余额1168737
2021-06-21 花费3000000银子重置召唤兽属性点
2021-06-21 [给予]获得(zhouhong1)道具：召唤兽内丹
2021-06-21 余额1168737，失去银子：1000000,来源代号商城，银子余额168737
2021-06-21 获得经验：6914112,来源代号知了先锋
