日志创建2021-06-27 余额10139764，获得银子：20000,来源代号出售红宝石，银子余额10159764
2021-06-27 余额10159764，获得银子：20000,来源代号出售符石卷轴，银子余额10179764
2021-06-27 余额10179764，获得银子：20000,来源代号出售附魔宝珠，银子余额10199764
2021-06-27 余额10199764，获得银子：50000,来源代号出售超级净瓶玉露，银子余额10249764
2021-06-27 余额10249764，获得银子：20000,来源代号出售附魔宝珠，银子余额10269764
2021-06-27 余额10269764，获得银子：20000,来源代号出售黑宝石，银子余额10289764
2021-06-27 余额10289764，获得银子：20000,来源代号出售符石卷轴，银子余额10309764
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额117770129，获得储备：190096,来源代号知了大王，储备余额117960225
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额117960225，获得储备：190096,来源代号知了大王，储备余额118150321
2021-06-27 获得经验：9516776,来源代号千年知了王
2021-06-27 余额118150321，获得储备：213858,来源代号千年知了王，储备余额118364179
2021-06-27 获得经验：9516776,来源代号千年知了王
2021-06-27 余额118364179，获得储备：213858,来源代号千年知了王，储备余额118578037
2021-06-27 获得经验：9516776,来源代号千年知了王
2021-06-27 余额118578037，获得储备：213858,来源代号千年知了王，储备余额118791895
2021-06-27 获得经验：9516776,来源代号千年知了王
2021-06-27 余额118791895，获得储备：213858,来源代号千年知了王，储备余额119005753
2021-06-27 获得经验：9516776,来源代号千年知了王
2021-06-27 余额119005753，获得储备：213858,来源代号千年知了王，储备余额119219611
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额119219611，获得储备：190096,来源代号知了大王，储备余额119409707
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额119409707，获得储备：190096,来源代号知了大王，储备余额119599803
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额119599803，获得储备：190096,来源代号知了大王，储备余额119789899
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额119789899，获得储备：190096,来源代号知了大王，储备余额119979995
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额119979995，获得储备：190096,来源代号知了大王，储备余额120170091
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额120170091，获得储备：190096,来源代号知了大王，储备余额120360187
2021-06-27 余额10309764，获得银子：20000,来源代号出售绿宝石，银子余额10329764
2021-06-27 余额10329764，获得银子：20000,来源代号出售附魔宝珠，银子余额10349764
2021-06-27 获得经验：9516776,来源代号千年知了王
2021-06-27 余额120360187，获得储备：213858,来源代号千年知了王，储备余额120574045
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额120574045，获得储备：190096,来源代号知了大王，储备余额120764141
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额120764141，获得储备：190096,来源代号知了大王，储备余额120954237
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额120954237，获得储备：142572,来源代号知了先锋，储备余额121096809
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额121096809，获得储备：142572,来源代号知了先锋，储备余额121239381
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额121239381，获得储备：142572,来源代号知了先锋，储备余额121381953
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额121381953，获得储备：142572,来源代号知了先锋，储备余额121524525
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额121524525，获得储备：142572,来源代号知了先锋，储备余额121667097
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额121667097，获得储备：142572,来源代号知了先锋，储备余额121809669
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额121809669，获得储备：142572,来源代号知了先锋，储备余额121952241
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额121952241，获得储备：142572,来源代号知了先锋，储备余额122094813
2021-06-27 余额10349764，获得银子：20000,来源代号出售符石卷轴，银子余额10369764
2021-06-27 余额10369764，获得银子：20000,来源代号出售超级金柳露，银子余额10389764
2021-06-27 余额10389764，获得银子：10000,来源代号出售青龙石，银子余额10399764
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额122094813，获得储备：190096,来源代号知了大王，储备余额122284909
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额122284909，获得储备：190096,来源代号知了大王，储备余额122475005
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额122475005，获得储备：190096,来源代号知了大王，储备余额122665101
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额122665101，获得储备：190096,来源代号知了大王，储备余额122855197
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额122855197，获得储备：190096,来源代号知了大王，储备余额123045293
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额123045293，获得储备：190096,来源代号知了大王，储备余额123235389
2021-06-27 余额10399764，失去银子：519988,来源代号19，银子余额9879776
2021-06-27 获得经验：10648000,来源代号地煞
2021-06-27 余额123235389，获得储备：487200,来源代号地煞，储备余额123722589
2021-06-27 余额123722589，失去银子：541088,来源代号技能学习，储备余额123181501
2021-06-27 余额123181501，失去银子：561540,来源代号技能学习，储备余额122619961
2021-06-27 余额122619961，失去银子：582566,来源代号技能学习，储备余额122037395
2021-06-27 余额122037395，失去银子：604174,来源代号技能学习，储备余额121433221
2021-06-27 余额121433221，失去银子：626376,来源代号技能学习，储备余额120806845
2021-06-27 余额120806845，失去银子：649184,来源代号技能学习，储备余额120157661
2021-06-27 余额120157661，失去银子：672606,来源代号技能学习，储备余额119485055
2021-06-27 余额119485055，失去银子：696656,来源代号技能学习，储备余额118788399
2021-06-27 余额118788399，失去银子：721344,来源代号技能学习，储备余额118067055
2021-06-27 余额118067055，失去银子：746678,来源代号技能学习，储备余额117320377
2021-06-27 余额117320377，失去银子：772674,来源代号技能学习，储备余额116547703
2021-06-27 余额116547703，失去银子：799342,来源代号技能学习，储备余额115748361
2021-06-27 余额115748361，失去银子：826692,来源代号技能学习，储备余额114921669
2021-06-27 余额114921669，失去银子：854736,来源代号技能学习，储备余额114066933
2021-06-27 余额114066933，失去银子：883486,来源代号技能学习，储备余额113183447
2021-06-27 余额113183447，失去银子：912954,来源代号技能学习，储备余额112270493
2021-06-27 余额112270493，失去银子：943152,来源代号技能学习，储备余额111327341
2021-06-27 余额111327341，失去银子：974090,来源代号技能学习，储备余额110353251
2021-06-27 余额110353251，失去银子：1005782,来源代号技能学习，储备余额109347469
2021-06-27 余额109347469，失去银子：1038240,来源代号技能学习，储备余额108309229
2021-06-27 余额108309229，失去银子：1071474,来源代号技能学习，储备余额107237755
2021-06-27 获得经验：845000,来源代号封妖
2021-06-27 [给予]给予(zhouhong1)道具：上古锻造图策
2021-06-27 余额9879776，失去银子：1,来源代号29，银子余额9879775
2021-06-27 [摊位系统-购买]花费1两银子购买了神木呓语，出售者为zhouhong
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额107237755，获得储备：190096,来源代号知了大王，储备余额107427851
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额107427851，获得储备：213858,来源代号知了统领，储备余额107641709
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额107641709，获得储备：213858,来源代号知了统领，储备余额107855567
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额107855567，获得储备：213858,来源代号知了统领，储备余额108069425
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额108069425，获得储备：213858,来源代号知了统领，储备余额108283283
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额108283283，获得储备：213858,来源代号知了统领，储备余额108497141
