日志创建2021-06-27 余额140441633，获得储备：8000000,来源代号大雁塔，储备余额148441633
2021-06-27 余额1949775，获得银子：480000,来源代号大雁塔，银子余额2429775
2021-06-27 余额148441633，获得储备：9000000,来源代号大雁塔，储备余额157441633
2021-06-27 余额2429775，获得银子：540000,来源代号大雁塔，银子余额2969775
2021-06-27 余额157441633，获得储备：10000000,来源代号大雁塔，储备余额167441633
2021-06-27 余额2969775，获得银子：600000,来源代号大雁塔，银子余额3569775
2021-06-27 余额167441633，获得储备：11000000,来源代号大雁塔，储备余额178441633
2021-06-27 余额3569775，获得银子：660000,来源代号大雁塔，银子余额4229775
2021-06-27 余额178441633，获得储备：12000000,来源代号大雁塔，储备余额190441633
2021-06-27 余额4229775，获得银子：720000,来源代号大雁塔，银子余额4949775
2021-06-27 余额190441633，获得储备：13000000,来源代号大雁塔，储备余额203441633
2021-06-27 余额4949775，获得银子：780000,来源代号大雁塔，银子余额5729775
2021-06-27 余额203441633，获得储备：14000000,来源代号大雁塔，储备余额217441633
2021-06-27 余额5729775，获得银子：840000,来源代号大雁塔，银子余额6569775
2021-06-27 余额6569775，获得银子：10000,来源代号出售青龙石，银子余额6579775
2021-06-27 余额6579775，获得银子：100000,来源代号出售魔兽要诀，银子余额6679775
2021-06-27 余额217441633，获得储备：15000000,来源代号大雁塔，储备余额232441633
2021-06-27 余额6679775，获得银子：900000,来源代号大雁塔，银子余额7579775
2021-06-27 余额232441633，获得储备：16000000,来源代号大雁塔，储备余额248441633
2021-06-27 余额7579775，获得银子：960000,来源代号大雁塔，银子余额8539775
2021-06-27 余额248441633，获得储备：17000000,来源代号大雁塔，储备余额265441633
2021-06-27 余额8539775，获得银子：1020000,来源代号大雁塔，银子余额9559775
2021-06-27 余额265441633，获得储备：18000000,来源代号大雁塔，储备余额283441633
2021-06-27 余额9559775，获得银子：1080000,来源代号大雁塔，银子余额10639775
2021-06-27 余额283441633，获得储备：19000000,来源代号大雁塔，储备余额302441633
2021-06-27 余额10639775，获得银子：1140000,来源代号大雁塔，银子余额11779775
2021-06-27 [给予]获得(zhouhong1)道具：怪物卡片
2021-06-27 [给予]给予(zhouhong1)道具：怪物卡片
2021-06-27 获得经验：4800,来源代号野外
2021-06-27 余额302441633，获得储备：20000000,来源代号大雁塔，储备余额322441633
2021-06-27 余额11779775，获得银子：1200000,来源代号大雁塔，银子余额12979775
2021-06-27 余额12979775，失去银子：648988,来源代号19，银子余额12330787
2021-06-27 [给予]给予(zhouhong1)道具：修炼果
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额322441633，获得储备：166334,来源代号知了小王，储备余额322607967
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额322607967，获得储备：166334,来源代号知了小王，储备余额322774301
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额322774301，获得储备：166334,来源代号知了小王，储备余额322940635
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额322940635，获得储备：166334,来源代号知了小王，储备余额323106969
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额323106969，获得储备：166334,来源代号知了小王，储备余额323273303
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额323273303，获得储备：166334,来源代号知了小王，储备余额323439637
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额323439637，获得储备：166334,来源代号知了小王，储备余额323605971
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额323605971，获得储备：166334,来源代号知了小王，储备余额323772305
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额323772305，获得储备：166334,来源代号知了小王，储备余额323938639
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额323938639，获得储备：166334,来源代号知了小王，储备余额324104973
2021-06-27 余额12330787，获得银子：100000,来源代号出售魔兽要诀，银子余额12430787
2021-06-27 余额12430787，获得银子：20000,来源代号出售黄宝石，银子余额12450787
2021-06-27 余额12450787，获得银子：10000,来源代号出售朱雀石，银子余额12460787
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额324104973，获得储备：190096,来源代号知了大王，储备余额324295069
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额324295069，获得储备：190096,来源代号知了大王，储备余额324485165
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额324485165，获得储备：190096,来源代号知了大王，储备余额324675261
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额324675261，获得储备：190096,来源代号知了大王，储备余额324865357
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额324865357，获得储备：190096,来源代号知了大王，储备余额325055453
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额325055453，获得储备：190096,来源代号知了大王，储备余额325245549
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额325245549，获得储备：190096,来源代号知了大王，储备余额325435645
2021-06-27 获得经验：9516776,来源代号千年知了王
2021-06-27 余额325435645，获得储备：213858,来源代号千年知了王，储备余额325649503
2021-06-27 获得经验：9516776,来源代号千年知了王
2021-06-27 余额325649503，获得储备：213858,来源代号千年知了王，储备余额325863361
2021-06-27 获得经验：9516776,来源代号千年知了王
2021-06-27 余额325863361，获得储备：213858,来源代号千年知了王，储备余额326077219
2021-06-27 获得经验：7242,来源代号野外
2021-06-27 获得经验：9516776,来源代号千年知了王
2021-06-27 余额326077219，获得储备：213858,来源代号千年知了王，储备余额326291077
2021-06-27 获得经验：9516776,来源代号千年知了王
2021-06-27 余额326291077，获得储备：213858,来源代号千年知了王，储备余额326504935
2021-06-27 获得经验：9516776,来源代号千年知了王
2021-06-27 余额326504935，获得储备：213858,来源代号千年知了王，储备余额326718793
2021-06-27 余额12460787，失去银子：100000,来源代号商城，银子余额12360787
2021-06-27 [给予]给予(zhouhong1)道具：召唤兽内丹
2021-06-27 余额12360787，获得银子：100000,来源代号出售魔兽要诀，银子余额12460787
2021-06-27 余额12460787，获得银子：100000,来源代号出售魔兽要诀，银子余额12560787
2021-06-27 余额12560787，获得银子：20000,来源代号出售光芒石，银子余额12580787
2021-06-27 余额12580787，获得银子：20000,来源代号出售符石卷轴，银子余额12600787
2021-06-27 余额12600787，获得银子：20000,来源代号出售符石卷轴，银子余额12620787
2021-06-27 余额12620787，获得银子：20000,来源代号出售附魔宝珠，银子余额12640787
2021-06-27 余额12640787，获得银子：20000,来源代号出售光芒石，银子余额12660787
2021-06-27 [给予]给予(zhouhong1)道具：高级内丹碎片
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额326718793，获得储备：190096,来源代号知了大王，储备余额326908889
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额326908889，获得储备：190096,来源代号知了大王，储备余额327098985
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额327098985，获得储备：190096,来源代号知了大王，储备余额327289081
2021-06-27 获得经验：2851440,来源代号夏日炎炎
2021-06-27 获得经验：2851440,来源代号夏日炎炎
2021-06-27 获得经验：2851440,来源代号夏日炎炎
2021-06-27 获得经验：2851440,来源代号夏日炎炎
2021-06-27 获得经验：2851440,来源代号夏日炎炎
2021-06-27 获得经验：2851440,来源代号夏日炎炎
2021-06-27 获得经验：16562304,来源代号知了先锋
2021-06-27 余额327289081，获得储备：142572,来源代号知了先锋，储备余额327431653
2021-06-27 获得经验：16562304,来源代号知了先锋
2021-06-27 余额327431653，获得储备：142572,来源代号知了先锋，储备余额327574225
2021-06-27 获得经验：16562304,来源代号知了先锋
2021-06-27 余额327574225，获得储备：142572,来源代号知了先锋，储备余额327716797
2021-06-27 获得经验：2851440,来源代号夏日炎炎
2021-06-27 获得经验：2851440,来源代号夏日炎炎
2021-06-27 获得经验：2851440,来源代号夏日炎炎
2021-06-27 获得经验：16562304,来源代号知了先锋
2021-06-27 余额327716797，获得储备：142572,来源代号知了先锋，储备余额327859369
2021-06-27 获得经验：2851440,来源代号夏日炎炎
2021-06-27 获得经验：16562304,来源代号知了先锋
2021-06-27 余额327859369，获得储备：142572,来源代号知了先锋，储备余额328001941
2021-06-27 获得经验：2851440,来源代号夏日炎炎
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额328001941，获得储备：190096,来源代号知了大王，储备余额328192037
2021-06-27 获得经验：21296000,来源代号地煞
2021-06-27 余额328192037，获得储备：487200,来源代号地煞，储备余额328679237
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额328679237，获得储备：190096,来源代号知了大王，储备余额328869333
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额328869333，获得储备：190096,来源代号知了大王，储备余额329059429
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额329059429，获得储备：190096,来源代号知了大王，储备余额329249525
2021-06-27 [给予]获得(zhouhong1)道具：法宝任务书
2021-06-27 [给予]给予(zhouhong1)道具：法宝任务书
2021-06-27 [给予]给予(zhouhong1)道具：法宝任务书
2021-06-27 获得经验：19128600,来源代号知了统领
2021-06-27 余额329249525，获得储备：213858,来源代号知了统领，储备余额329463383
2021-06-27 获得经验：19128600,来源代号知了统领
2021-06-27 余额329463383，获得储备：213858,来源代号知了统领，储备余额329677241
2021-06-27 获得经验：19128600,来源代号知了统领
2021-06-27 余额329677241，获得储备：213858,来源代号知了统领，储备余额329891099
2021-06-27 获得经验：19128600,来源代号知了统领
2021-06-27 余额329891099，获得储备：213858,来源代号知了统领，储备余额330104957
2021-06-27 获得经验：19128600,来源代号知了统领
2021-06-27 余额330104957，获得储备：213858,来源代号知了统领，储备余额330318815
2021-06-27 获得经验：19128600,来源代号知了统领
2021-06-27 余额330318815，获得储备：213858,来源代号知了统领，储备余额330532673
2021-06-27 获得经验：19128600,来源代号知了统领
2021-06-27 余额330532673，获得储备：213858,来源代号知了统领，储备余额330746531
2021-06-27 获得经验：19128600,来源代号知了统领
2021-06-27 余额330746531，获得储备：213858,来源代号知了统领，储备余额330960389
2021-06-27 获得经验：19128600,来源代号知了统领
2021-06-27 余额330960389，获得储备：213858,来源代号知了统领，储备余额331174247
2021-06-27 获得经验：19128600,来源代号知了统领
2021-06-27 余额331174247，获得储备：213858,来源代号知了统领，储备余额331388105
2021-06-27 获得经验：19128600,来源代号知了统领
2021-06-27 余额331388105，获得储备：213858,来源代号知了统领，储备余额331601963
2021-06-27 获得经验：19128600,来源代号知了统领
2021-06-27 余额331601963，获得储备：213858,来源代号知了统领，储备余额331815821
2021-06-27 获得经验：19033552,来源代号千年知了王
2021-06-27 余额331815821，获得储备：213858,来源代号千年知了王，储备余额332029679
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额332029679，获得储备：190096,来源代号知了大王，储备余额332219775
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额332219775，获得储备：142572,来源代号知了先锋，储备余额332362347
