日志创建2021-06-27 [给予]给予(zhouhong1)银子：10000000
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额332362347，获得储备：166334,来源代号知了小王，储备余额332528681
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额332528681，获得储备：166334,来源代号知了小王，储备余额332695015
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额332695015，获得储备：213858,来源代号知了统领，储备余额332908873
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额332908873，获得储备：213858,来源代号知了统领，储备余额333122731
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额333122731，获得储备：213858,来源代号知了统领，储备余额333336589
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额333336589，获得储备：213858,来源代号知了统领，储备余额333550447
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额333550447，获得储备：166334,来源代号知了小王，储备余额333716781
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额333716781，获得储备：166334,来源代号知了小王，储备余额333883115
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额333883115，获得储备：213858,来源代号知了统领，储备余额334096973
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额334096973，获得储备：166334,来源代号知了小王，储备余额334263307
2021-06-27 余额2660787，获得银子：99999999,来源代号给予，银子余额102660786
2021-06-27 [给予]获得(zhouhong1)银子：99999999
2021-06-27 余额102660786，获得银子：20000,来源代号出售光芒石，银子余额102680786
2021-06-27 余额102680786，获得银子：20000,来源代号出售附魔宝珠，银子余额102700786
2021-06-27 余额102700786，获得银子：20000,来源代号出售符石卷轴，银子余额102720786
2021-06-27 余额102720786，获得银子：50000,来源代号出售超级净瓶玉露，银子余额102770786
2021-06-27 余额102770786，获得银子：10000,来源代号出售玄武石，银子余额102780786
2021-06-27 余额102780786，获得银子：20000,来源代号出售符石卷轴，银子余额102800786
2021-06-27 余额102800786，获得银子：100000,来源代号出售魔兽要诀，银子余额102900786
2021-06-27 余额102900786，获得银子：7000000,来源代号给予，银子余额109900786
2021-06-27 [给予]获得(zhouhong1)银子：7000000
2021-06-27 余额109900786，获得银子：1300000,来源代号给予，银子余额111200786
2021-06-27 [给予]获得(zhouhong1)银子：1300000
2021-06-27 余额111200786，失去银子：40000000,来源代号学习乾元丹，银子余额71200786
2021-06-27 余额71200786，失去银子：55000000,来源代号学习乾元丹，银子余额16200786
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额334263307，获得储备：142572,来源代号知了先锋，储备余额334405879
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额334405879，获得储备：142572,来源代号知了先锋，储备余额334548451
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额334548451，获得储备：166334,来源代号知了小王，储备余额334714785
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额334714785，获得储备：166334,来源代号知了小王，储备余额334881119
2021-06-27 余额16200786，获得银子：171084,来源代号嘉年华，银子余额16371870
2021-06-27 获得经验：712860,来源代号嘉年华
2021-06-27 获得经验：1425720,来源代号夏日炎炎
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额334881119，获得储备：142572,来源代号知了先锋，储备余额335023691
2021-06-27 余额16371870，获得银子：213855,来源代号嘉年华，银子余额16585725
2021-06-27 获得经验：2495010,来源代号嘉年华
