日志创建2021-06-21 余额4026753，失去银子：1000000,来源代号脱离门派，银子余额3026753
2021-06-21 余额89595931，失去银子：24,来源代号技能学习，储备余额89595907
2021-06-21 余额89595907，失去银子：38,来源代号技能学习，储备余额89595869
2021-06-21 余额89595869，失去银子：56,来源代号技能学习，储备余额89595813
2021-06-21 余额89595813，失去银子：76,来源代号技能学习，储备余额89595737
2021-06-21 余额89595737，失去银子：102,来源代号技能学习，储备余额89595635
2021-06-21 余额89595635，失去银子：134,来源代号技能学习，储备余额89595501
2021-06-21 余额89595501，失去银子：172,来源代号技能学习，储备余额89595329
2021-06-21 余额89595329，失去银子：220,来源代号技能学习，储备余额89595109
2021-06-21 余额89595109，失去银子：278,来源代号技能学习，储备余额89594831
2021-06-21 余额89594831，失去银子：348,来源代号技能学习，储备余额89594483
2021-06-21 余额89594483，失去银子：432,来源代号技能学习，储备余额89594051
2021-06-21 余额89594051，失去银子：532,来源代号技能学习，储备余额89593519
2021-06-21 余额89593519，失去银子：650,来源代号技能学习，储备余额89592869
2021-06-21 余额89592869，失去银子：786,来源代号技能学习，储备余额89592083
2021-06-21 余额89592083，失去银子：944,来源代号技能学习，储备余额89591139
2021-06-21 余额89591139，失去银子：1126,来源代号技能学习，储备余额89590013
2021-06-21 余额89590013，失去银子：1334,来源代号技能学习，储备余额89588679
2021-06-21 余额89588679，失去银子：1572,来源代号技能学习，储备余额89587107
2021-06-21 余额89587107，失去银子：1838,来源代号技能学习，储备余额89585269
2021-06-21 余额89585269，失去银子：2140,来源代号技能学习，储备余额89583129
2021-06-21 余额89583129，失去银子：2476,来源代号技能学习，储备余额89580653
2021-06-21 余额89580653，失去银子：2852,来源代号技能学习，储备余额89577801
2021-06-21 余额89577801，失去银子：3272,来源代号技能学习，储备余额89574529
2021-06-21 余额89574529，失去银子：3736,来源代号技能学习，储备余额89570793
2021-06-21 余额89570793，失去银子：4248,来源代号技能学习，储备余额89566545
2021-06-21 余额89566545，失去银子：4808,来源代号技能学习，储备余额89561737
2021-06-21 余额89561737，失去银子：5428,来源代号技能学习，储备余额89556309
2021-06-21 余额89556309，失去银子：6100,来源代号技能学习，储备余额89550209
2021-06-21 余额89550209，失去银子：6840,来源代号技能学习，储备余额89543369
2021-06-21 余额89543369，失去银子：7640,来源代号技能学习，储备余额89535729
2021-06-21 余额89535729，失去银子：8510,来源代号技能学习，储备余额89527219
2021-06-21 余额89527219，失去银子：9450,来源代号技能学习，储备余额89517769
2021-06-21 余额89517769，失去银子：10468,来源代号技能学习，储备余额89507301
2021-06-21 余额89507301，失去银子：11566,来源代号技能学习，储备余额89495735
2021-06-21 余额89495735，失去银子：12748,来源代号技能学习，储备余额89482987
2021-06-21 余额89482987，失去银子：14018,来源代号技能学习，储备余额89468969
2021-06-21 余额89468969，失去银子：15360,来源代号技能学习，储备余额89453609
2021-06-21 余额89453609，失去银子：16838,来源代号技能学习，储备余额89436771
2021-06-21 余额89436771，失去银子：18398,来源代号技能学习，储备余额89418373
