日志创建2021-06-25 获得经验：14856600,来源代号知了统领
2021-06-25 余额202120446，获得储备：85698,来源代号知了统领，储备余额202206144
2021-06-25 [给予]给予(zhouhong1)道具：星辉石
2021-06-25 [给予]给予(zhouhong1)道具：星辉石
2021-06-25 [给予]给予(zhouhong1)道具：星辉石
2021-06-25 余额2350070，获得银子：100000,来源代号出售超级金柳露，银子余额2450070
2021-06-25 余额2450070，获得银子：10000,来源代号出售花豆，银子余额2460070
2021-06-25 余额2460070，获得银子：10000,来源代号出售金柳露，银子余额2470070
2021-06-25 余额2470070，获得银子：20000,来源代号出售定魂珠，银子余额2490070
2021-06-25 余额2490070，获得银子：20000,来源代号出售龙鳞，银子余额2510070
2021-06-25 余额2510070，获得银子：100000,来源代号出售魔兽要诀，银子余额2610070
2021-06-25 余额2610070，获得银子：10000,来源代号出售玄武石，银子余额2620070
2021-06-25 余额2620070，获得银子：100000,来源代号出售魔兽要诀，银子余额2720070
2021-06-25 余额2720070，获得银子：20000,来源代号出售龙鳞，银子余额2740070
2021-06-25 [给予]获得(zhouhong1)道具：彩果
2021-06-25 [给予]给予(zhouhong1)道具：彩果
2021-06-25 获得经验：6914112,来源代号知了先锋
2021-06-25 余额202206144，获得储备：57132,来源代号知了先锋，储备余额202263276
2021-06-25 [给予]给予(zhouhong1)道具：中级清灵仙露
2021-06-25 [给予]给予(zhouhong1)道具：初级清灵仙露
2021-06-25 [给予]给予(zhouhong1)道具：中级清灵仙露
2021-06-25 [给予]给予(zhouhong1)道具：初级清灵仙露
2021-06-25 [给予]给予(zhouhong1)道具：初级清灵仙露
2021-06-25 [给予]给予(zhouhong1)道具：高级清灵仙露
2021-06-25 [给予]给予(zhouhong1)道具：高级魔兽要诀
2021-06-25 [给予]给予(zhouhong1)道具：月亮石
2021-06-25 余额2740070，获得银子：20000,来源代号出售超级金柳露，银子余额2760070
2021-06-25 [给予]给予(zhouhong1)银子：2500000
2021-06-25 获得经验：7066464,来源代号知了小王
2021-06-25 余额202263276，获得储备：66654,来源代号知了小王，储备余额202329930
2021-06-25 获得经验：6914112,来源代号知了先锋
2021-06-25 余额202329930，获得储备：57132,来源代号知了先锋，储备余额202387062
2021-06-25 获得经验：6914112,来源代号知了先锋
2021-06-25 余额202387062，获得储备：57132,来源代号知了先锋，储备余额202444194
2021-06-25 获得经验：6914112,来源代号知了先锋
2021-06-25 余额202444194，获得储备：57132,来源代号知了先锋，储备余额202501326
2021-06-25 获得经验：6914112,来源代号知了先锋
2021-06-25 余额202501326，获得储备：57132,来源代号知了先锋，储备余额202558458
2021-06-25 余额202558458，获得储备：11000000,来源代号大雁塔，储备余额213558458
2021-06-25 余额260070，获得银子：660000,来源代号大雁塔，银子余额920070
2021-06-25 余额213558458，获得储备：12000000,来源代号大雁塔，储备余额225558458
2021-06-25 余额920070，获得银子：720000,来源代号大雁塔，银子余额1640070
2021-06-25 余额225558458，获得储备：13000000,来源代号大雁塔，储备余额238558458
2021-06-25 余额1640070，获得银子：780000,来源代号大雁塔，银子余额2420070
2021-06-25 余额2420070，失去银子：121003,来源代号19，银子余额2299067
2021-06-25 余额2299067，获得银子：35000,来源代号仙气十足，银子余额2334067
2021-06-25 获得经验：571320,来源代号仙气十足
2021-06-26 获得经验：6914112,来源代号知了先锋
2021-06-26 余额238558458，获得储备：57132,来源代号知了先锋，储备余额238615590
2021-06-26 获得经验：6914112,来源代号知了先锋
2021-06-26 余额238615590，获得储备：57132,来源代号知了先锋，储备余额238672722
2021-06-26 获得经验：6914112,来源代号知了先锋
2021-06-26 余额238672722，获得储备：57132,来源代号知了先锋，储备余额238729854
2021-06-26 获得经验：6914112,来源代号知了先锋
2021-06-26 余额238729854，获得储备：57132,来源代号知了先锋，储备余额238786986
2021-06-26 获得经验：6914112,来源代号知了先锋
2021-06-26 余额238786986，获得储备：57132,来源代号知了先锋，储备余额238844118
2021-06-26 获得经验：7409256,来源代号千年知了王
2021-06-26 余额238844118，获得储备：85698,来源代号千年知了王，储备余额238929816
2021-06-26 获得经验：7409256,来源代号千年知了王
2021-06-26 余额238929816，获得储备：85698,来源代号千年知了王，储备余额239015514
2021-06-26 获得经验：7409256,来源代号千年知了王
2021-06-26 余额239015514，获得储备：85698,来源代号千年知了王，储备余额239101212
2021-06-26 获得经验：7409256,来源代号千年知了王
2021-06-26 余额239101212，获得储备：85698,来源代号千年知了王，储备余额239186910
2021-06-26 获得经验：7409256,来源代号千年知了王
2021-06-26 余额239186910，获得储备：85698,来源代号千年知了王，储备余额239272608
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额239272608，获得储备：76176,来源代号知了大王，储备余额239348784
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额239348784，获得储备：76176,来源代号知了大王，储备余额239424960
2021-06-26 余额2334067，获得银子：40000,来源代号西瓜妖，银子余额2374067
2021-06-26 获得经验：200000,来源代号西瓜妖
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额239424960，获得储备：76176,来源代号知了大王，储备余额239501136
2021-06-26 获得经验：7428300,来源代号知了统领
2021-06-26 余额239501136，获得储备：85698,来源代号知了统领，储备余额239586834
2021-06-26 获得经验：7066464,来源代号千年魔灵
2021-06-26 余额2374067，失去银子：2000000,来源代号商城，银子余额374067
2021-06-26 获得经验：7428300,来源代号知了统领
2021-06-26 余额239586834，获得储备：85698,来源代号知了统领，储备余额239672532
2021-06-26 获得经验：7428300,来源代号知了统领
2021-06-26 余额239672532，获得储备：85698,来源代号知了统领，储备余额239758230
2021-06-26 获得经验：7428300,来源代号知了统领
2021-06-26 余额239758230，获得储备：85698,来源代号知了统领，储备余额239843928
2021-06-26 余额374067，获得银子：40000,来源代号泡泡，银子余额414067
2021-06-26 获得经验：571320,来源代号泡泡
2021-06-26 余额414067，获得银子：35000,来源代号仙气十足，银子余额449067
2021-06-26 获得经验：571320,来源代号仙气十足
2021-06-26 余额449067，获得银子：35000,来源代号仙气十足，银子余额484067
2021-06-26 获得经验：571320,来源代号仙气十足
2021-06-26 获得经验：571320,来源代号夏日炎炎
2021-06-26 余额484067，获得银子：100000,来源代号出售魔兽要诀，银子余额584067
2021-06-26 余额584067，获得银子：60000,来源代号出售超级金柳露，银子余额644067
2021-06-26 余额644067，获得银子：10000,来源代号出售玄武石，银子余额654067
2021-06-26 余额654067，获得银子：20000,来源代号出售附魔宝珠，银子余额674067
2021-06-26 获得经验：720000,来源代号封妖
2021-06-26 获得经验：720000,来源代号封妖
2021-06-26 获得经验：720000,来源代号封妖
2021-06-26 获得经验：720000,来源代号封妖
2021-06-26 获得经验：7409256,来源代号千年知了王
2021-06-26 余额239843928，获得储备：85698,来源代号千年知了王，储备余额239929626
2021-06-26 获得经验：7409256,来源代号千年知了王
2021-06-26 余额239929626，获得储备：85698,来源代号千年知了王，储备余额240015324
2021-06-26 获得经验：720000,来源代号封妖
2021-06-26 获得经验：720000,来源代号封妖
2021-06-26 获得经验：720000,来源代号封妖
2021-06-26 获得经验：720000,来源代号封妖
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额240015324，获得储备：76176,来源代号知了大王，储备余额240091500
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额240091500，获得储备：76176,来源代号知了大王，储备余额240167676
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额240167676，获得储备：76176,来源代号知了大王，储备余额240243852
2021-06-26 余额674067，获得银子：40000,来源代号泡泡，银子余额714067
2021-06-26 获得经验：571320,来源代号泡泡
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额240243852，获得储备：76176,来源代号知了大王，储备余额240320028
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额240320028，获得储备：76176,来源代号知了大王，储备余额240396204
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额240396204，获得储备：76176,来源代号知了大王，储备余额240472380
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额240472380，获得储备：76176,来源代号知了大王，储备余额240548556
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额240548556，获得储备：76176,来源代号知了大王，储备余额240624732
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额240624732，获得储备：76176,来源代号知了大王，储备余额240700908
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额240700908，获得储备：76176,来源代号知了大王，储备余额240777084
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额240777084，获得储备：76176,来源代号知了大王，储备余额240853260
2021-06-26 余额714067，获得银子：40000,来源代号酒鬼，银子余额754067
2021-06-26 获得经验：6914112,来源代号酒鬼
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额240853260，获得储备：76176,来源代号知了大王，储备余额240929436
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额240929436，获得储备：76176,来源代号知了大王，储备余额241005612
2021-06-26 余额754067，获得银子：40001,来源代号夜叉，银子余额794068
2021-06-26 获得经验：6914114,来源代号夜叉
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额241005612，获得储备：76176,来源代号知了大王，储备余额241081788
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额241081788，获得储备：76176,来源代号知了大王，储备余额241157964
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额241157964，获得储备：76176,来源代号知了大王，储备余额241234140
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额241234140，获得储备：76176,来源代号知了大王，储备余额241310316
2021-06-26 获得经验：7256904,来源代号知了大王
2021-06-26 余额241310316，获得储备：76176,来源代号知了大王，储备余额241386492
2021-06-26 余额794068，获得银子：40000,来源代号泡泡，银子余额834068
2021-06-26 获得经验：571320,来源代号泡泡
2021-06-26 获得经验：6914112,来源代号知了先锋
2021-06-26 余额241386492，获得储备：57132,来源代号知了先锋，储备余额241443624
2021-06-26 获得经验：6914112,来源代号知了先锋
2021-06-26 余额241443624，获得储备：57132,来源代号知了先锋，储备余额241500756
2021-06-26 获得经验：6914112,来源代号知了先锋
2021-06-26 余额241500756，获得储备：57132,来源代号知了先锋，储备余额241557888
2021-06-26 获得经验：6914112,来源代号知了先锋
2021-06-26 余额241557888，获得储备：57132,来源代号知了先锋，储备余额241615020
2021-06-26 获得经验：6914112,来源代号知了先锋
2021-06-26 余额241615020，获得储备：57132,来源代号知了先锋，储备余额241672152
2021-06-26 获得经验：6914112,来源代号知了先锋
2021-06-26 余额241672152，获得储备：57132,来源代号知了先锋，储备余额241729284
2021-06-26 获得经验：6914112,来源代号知了先锋
2021-06-26 余额241729284，获得储备：57132,来源代号知了先锋，储备余额241786416
2021-06-26 余额834068，失去银子：100000,来源代号商城，银子余额734068
2021-06-26 余额734068，获得银子：20000,来源代号出售红玛瑙，银子余额754068
2021-06-26 余额754068，获得银子：20000,来源代号出售红宝石，银子余额774068
2021-06-26 余额774068，获得银子：20000,来源代号出售黄宝石，银子余额794068
2021-06-26 余额794068，获得银子：20000,来源代号出售符石卷轴，银子余额814068
2021-06-26 余额814068，获得银子：20000,来源代号出售符石卷轴，银子余额834068
2021-06-26 余额834068，获得银子：20000,来源代号出售符石卷轴，银子余额854068
2021-06-26 余额854068，获得银子：20000,来源代号出售附魔宝珠，银子余额874068
2021-06-26 余额874068，获得银子：20000,来源代号出售速度精魄灵石，银子余额894068
2021-06-26 余额894068，获得银子：40000,来源代号出售超级金柳露，银子余额934068
2021-06-26 获得经验：80000,来源代号封妖
2021-06-26 获得经验：80000,来源代号封妖
2021-06-26 获得经验：500000,来源代号封妖
2021-06-26 获得经验：500000,来源代号封妖
2021-06-26 获得经验：500000,来源代号封妖
2021-06-26 获得经验：500000,来源代号封妖
2021-06-26 余额934068，获得银子：40000,来源代号酒鬼，银子余额974068
2021-06-26 获得经验：6914112,来源代号酒鬼
2021-06-26 余额974068，获得银子：40000,来源代号智巧魔，银子余额1014068
2021-06-26 获得经验：6914112,来源代号智巧魔
2021-06-26 获得经验：500000,来源代号封妖
2021-06-26 余额1014068，获得银子：40000,来源代号孤魂野鬼，银子余额1054068
2021-06-26 获得经验：6914112,来源代号孤魂野鬼
2021-06-26 获得经验：845000,来源代号封妖
2021-06-26 获得经验：845000,来源代号封妖
2021-06-26 获得经验：845000,来源代号封妖
2021-06-26 获得经验：720000,来源代号封妖
2021-06-26 获得经验：720000,来源代号封妖
2021-06-26 获得经验：720000,来源代号封妖
