日志创建2021-06-27 获得经验：19033552,来源代号千年知了王
2021-06-27 余额340580112，获得储备：213858,来源代号千年知了王，储备余额340793970
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额340793970，获得储备：190096,来源代号知了大王，储备余额340984066
2021-06-27 余额12441834，获得银子：99999999,来源代号给予，银子余额112441833
2021-06-27 [给予]获得(zhouhong1)银子：99999999
2021-06-27 余额112441833，获得银子：20000,来源代号出售符石卷轴，银子余额112461833
2021-06-27 余额112461833，获得银子：20000,来源代号出售附魔宝珠，银子余额112481833
2021-06-27 余额112481833，获得银子：20000,来源代号出售超级金柳露，银子余额112501833
2021-06-27 余额112501833，获得银子：20000,来源代号出售附魔宝珠，银子余额112521833
2021-06-27 余额112521833，获得银子：100000,来源代号出售魔兽要诀，银子余额112621833
2021-06-27 余额112621833，获得银子：20000,来源代号出售附魔宝珠，银子余额112641833
2021-06-27 余额112641833，获得银子：20000,来源代号出售符石卷轴，银子余额112661833
2021-06-27 余额112661833，获得银子：20000,来源代号出售红玛瑙，银子余额112681833
2021-06-27 余额112681833，获得银子：100000,来源代号出售魔兽要诀，银子余额112781833
2021-06-27 余额112781833，获得银子：100000,来源代号出售魔兽要诀，银子余额112881833
2021-06-27 余额112881833，失去银子：1000,来源代号商城，银子余额112880833
2021-06-27 余额112880833，失去银子：500,来源代号商城，银子余额112880333
2021-06-27 余额112880333，失去银子：500,来源代号商城，银子余额112879833
2021-06-27 [给予]给予(zhouhong1)银子：99999999
2021-06-27 [给予]给予(zhouhong1)银子：10000000
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额340984066，获得储备：166334,来源代号知了小王，储备余额341150400
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额341150400，获得储备：166334,来源代号知了小王，储备余额341316734
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额341316734，获得储备：213858,来源代号知了统领，储备余额341530592
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额341530592，获得储备：213858,来源代号知了统领，储备余额341744450
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额341744450，获得储备：213858,来源代号知了统领，储备余额341958308
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额341958308，获得储备：213858,来源代号知了统领，储备余额342172166
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额342172166，获得储备：166334,来源代号知了小王，储备余额342338500
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额342338500，获得储备：166334,来源代号知了小王，储备余额342504834
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额342504834，获得储备：213858,来源代号知了统领，储备余额342718692
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额342718692，获得储备：166334,来源代号知了小王，储备余额342885026
2021-06-27 余额2879834，获得银子：99999999,来源代号给予，银子余额102879833
2021-06-27 [给予]获得(zhouhong1)银子：99999999
2021-06-27 余额102879833，失去银子：40000000,来源代号学习乾元丹，银子余额62879833
2021-06-27 余额62879833，失去银子：55000000,来源代号学习乾元丹，银子余额7879833
2021-06-27 余额7879833，获得银子：100000,来源代号出售魔兽要诀，银子余额7979833
2021-06-27 余额7979833，获得银子：10000,来源代号出售白虎石，银子余额7989833
2021-06-27 [给予]给予(zhouhong1)银子：7000000
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额342885026，获得储备：142572,来源代号知了先锋，储备余额343027598
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额343027598，获得储备：142572,来源代号知了先锋，储备余额343170170
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额343170170，获得储备：166334,来源代号知了小王，储备余额343336504
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额343336504，获得储备：166334,来源代号知了小王，储备余额343502838
2021-06-27 余额989833，获得银子：171084,来源代号嘉年华，银子余额1160917
2021-06-27 获得经验：712860,来源代号嘉年华
2021-06-27 获得经验：1425720,来源代号夏日炎炎
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额343502838，获得储备：142572,来源代号知了先锋，储备余额343645410
2021-06-27 余额1160917，获得银子：213855,来源代号嘉年华，银子余额1374772
2021-06-27 获得经验：2495010,来源代号嘉年华
2021-06-27 余额1374772，获得银子：256626,来源代号嘉年华，银子余额1631398
