日志创建2021-06-23 [给予]获得(zhouhong1)道具：怪物卡片
2021-06-23 [给予]给予(zhouhong1)道具：怪物卡片
2021-06-23 余额84047594，获得储备：1000000,来源代号大雁塔，储备余额85047594
2021-06-23 余额85047594，获得储备：2000000,来源代号大雁塔，储备余额87047594
2021-06-23 余额87047594，获得储备：3000000,来源代号大雁塔，储备余额90047594
2021-06-23 余额90047594，获得储备：4000000,来源代号大雁塔，储备余额94047594
2021-06-23 余额94047594，获得储备：5000000,来源代号大雁塔，储备余额99047594
2021-06-23 余额1206534，获得银子：300000,来源代号大雁塔，银子余额1506534
2021-06-23 余额99047594，获得储备：6000000,来源代号大雁塔，储备余额105047594
2021-06-23 余额1506534，获得银子：360000,来源代号大雁塔，银子余额1866534
2021-06-23 余额105047594，获得储备：7000000,来源代号大雁塔，储备余额112047594
2021-06-23 余额1866534，获得银子：420000,来源代号大雁塔，银子余额2286534
2021-06-23 余额112047594，获得储备：8000000,来源代号大雁塔，储备余额120047594
2021-06-23 余额2286534，获得银子：480000,来源代号大雁塔，银子余额2766534
2021-06-23 余额120047594，获得储备：9000000,来源代号大雁塔，储备余额129047594
2021-06-23 余额2766534，获得银子：540000,来源代号大雁塔，银子余额3306534
2021-06-24 余额129047594，获得储备：10000000,来源代号大雁塔，储备余额139047594
2021-06-24 余额3306534，获得银子：600000,来源代号大雁塔，银子余额3906534
2021-06-24 余额3906534，失去银子：195326,来源代号19，银子余额3711208
2021-06-24 余额139047594，获得储备：11000000,来源代号大雁塔，储备余额150047594
2021-06-24 余额3711208，获得银子：660000,来源代号大雁塔，银子余额4371208
2021-06-24 [给予]给予(zhouhong1)银子：4000000
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额150047594，获得储备：57132,来源代号知了先锋，储备余额150104726
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额150104726，获得储备：57132,来源代号知了先锋，储备余额150161858
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额150161858，获得储备：57132,来源代号知了先锋，储备余额150218990
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额150218990，获得储备：57132,来源代号知了先锋，储备余额150276122
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额150276122，获得储备：57132,来源代号知了先锋，储备余额150333254
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额150333254，获得储备：57132,来源代号知了先锋，储备余额150390386
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额150390386，获得储备：57132,来源代号知了先锋，储备余额150447518
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额150447518，获得储备：57132,来源代号知了先锋，储备余额150504650
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额150504650，获得储备：57132,来源代号知了先锋，储备余额150561782
2021-06-24 获得经验：6914112,来源代号知了先锋
2021-06-24 余额150561782，获得储备：57132,来源代号知了先锋，储备余额150618914
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
2021-06-24 获得经验：571320,来源代号夏日炎炎
